,eventid,iyear,imonth,iday,country,country_txt,region,region_txt,city,latitude,longitude,success,attacktype1,attacktype1_txt,targtype1,targtype1_txt,natlty1,natlty1_txt,weaptype1,weaptype1_txt,weapdetail,nkill,nkillus,nwound,nwoundus,location
79629,200601310006,2006,1,31,141,Nepal,6,South Asia,Tansen,27.86679,83.55009100000001,1,2,Armed Assault,3,Police,141.0,Nepal,6,Explosives,,24.0,0.0,17.0,0.0,
79674,200602030002,2006,2,3,4,Afghanistan,6,South Asia,Sangin,32.073333,64.833889,1,2,Armed Assault,2,Government (General),4.0,Afghanistan,5,Firearms,,19.0,0.0,23.0,0.0,
79706,200602050006,2006,2,5,153,Pakistan,6,South Asia,Kolpur,29.901894,67.13076,1,3,Bombing/Explosion,19,Transportation,153.0,Pakistan,6,Explosives,,13.0,0.0,20.0,0.0,
79734,200602070002,2006,2,7,4,Afghanistan,6,South Asia,Kandahar,31.631083,65.742226,1,3,Bombing/Explosion,3,Police,4.0,Afghanistan,6,Explosives,,13.0,,11.0,,
79762,200602090002,2006,2,9,153,Pakistan,6,South Asia,Hangu,33.528893,71.056122,1,3,Bombing/Explosion,14,Private Citizens & Property,153.0,Pakistan,6,Explosives,,31.0,,50.0,,
79820,200602130006,2006,2,13,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,1,Business,95.0,Iraq,6,Explosives,,11.0,0.0,40.0,0.0,
79839,200602140009,2006,2,14,95,Iraq,10,Middle East & North Africa,Balad,34.010471,44.148235,1,2,Armed Assault,14,Private Citizens & Property,95.0,Iraq,5,Firearms,,11.0,0.0,2.0,0.0,
79925,200602200001,2006,2,20,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,19,Transportation,95.0,Iraq,6,Explosives,,12.0,0.0,8.0,0.0,
79942,200602210001,2006,2,21,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,3,Police,95.0,Iraq,6,Explosives,,22.0,0.0,28.0,0.0,
79963,200602220006,2006,2,22,95,Iraq,10,Middle East & North Africa,Basra,30.510053999999997,47.778095,1,6,Hostage Taking (Kidnapping),3,Police,999.0,Multinational,5,Firearms,,12.0,0.0,0.0,0.0,
79978,200602230008,2006,2,23,95,Iraq,10,Middle East & North Africa,Nahrwan,33.375759,44.702866,1,1,Assassination,14,Private Citizens & Property,95.0,Iraq,5,Firearms,,47.0,0.0,0.0,0.0,
79979,200602230009,2006,2,23,95,Iraq,10,Middle East & North Africa,Baqubah,33.74324,44.623825,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,12.0,0.0,21.0,0.0,
80009,200602250011,2006,2,25,95,Iraq,10,Middle East & North Africa,Buhriz,33.716995000000004,44.679516,1,2,Armed Assault,14,Private Citizens & Property,95.0,Iraq,5,Firearms,,13.0,0.0,0.0,0.0,
80019,200602260006,2006,2,26,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,16.0,0.0,45.0,0.0,
80049,200602280005,2006,2,28,92,India,6,South Asia,Dantewada district,18.9,81.35,1,3,Bombing/Explosion,14,Private Citizens & Property,93.0,Indonesia,6,Explosives,,55.0,0.0,20.0,0.0,
80051,200602280007,2006,2,28,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,15,Religious Figures/Institutions,95.0,Iraq,6,Explosives,,23.0,0.0,55.0,0.0,
80052,200602280008,2006,2,28,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,1,Business,95.0,Iraq,6,Explosives,,23.0,0.0,51.0,0.0,
80065,200603010002,2006,3,1,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,Car bomb,23.0,0.0,58.0,0.0,
80078,200603020009,2006,3,2,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,2,Armed Assault,1,Business,95.0,Iraq,5,Firearms,,18.0,0.0,0.0,0.0,
80103,200603070002,2006,3,7,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,2,Armed Assault,14,Private Citizens & Property,95.0,Iraq,5,Firearms,,22.0,0.0,0.0,0.0,
80105,200603070004,2006,3,7,92,India,6,South Asia,Varanasi,25.317645000000002,82.97391400000001,1,3,Bombing/Explosion,15,Religious Figures/Institutions,92.0,India,6,Explosives,,20.0,0.0,100.0,0.0,
80114,200603100001,2006,3,10,95,Iraq,10,Middle East & North Africa,Fallujah,33.349159,43.784199,1,3,Bombing/Explosion,4,Military,422.0,International,6,Explosives,,11.0,0.0,0.0,0.0,
80115,200603100002,2006,3,10,153,Pakistan,6,South Asia,Dera Bugti,29.034412,69.158661,1,3,Bombing/Explosion,14,Private Citizens & Property,153.0,Pakistan,6,Explosives,,28.0,0.0,7.0,0.0,
80120,200603120002,2006,3,12,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,62.0,0.0,250.0,0.0,
80144,200603160005,2006,3,16,85,Guinea-Bissau,11,Sub-Saharan Africa,Sao Domingos,12.401677000000001,-16.196537,1,3,Bombing/Explosion,14,Private Citizens & Property,85.0,Guinea-Bissau,6,Explosives,,11.0,0.0,12.0,0.0,
80145,200603160006,2006,3,16,94,Iran,10,Middle East & North Africa,Zahedan,29.483576,60.862701,1,9,Unknown,2,Government (General),94.0,Iran,13,Unknown,,22.0,0.0,7.0,0.0,
80155,200603200001,2006,3,20,141,Nepal,6,South Asia,Bhakundebesi Chhatrebas,28.907778000000004,81.80583299999999,1,7,Facility/Infrastructure Attack,4,Military,141.0,Nepal,5,Firearms,,13.0,0.0,4.0,0.0,
80156,200603220001,2006,3,22,141,Nepal,6,South Asia,Jhapa district,26.63982,87.894245,1,2,Armed Assault,3,Police,141.0,Nepal,5,Firearms,,13.0,0.0,,0.0,
80157,200603220002,2006,3,22,95,Iraq,10,Middle East & North Africa,Muqdadiyah,33.953167,44.921906,1,7,Facility/Infrastructure Attack,3,Police,95.0,Iraq,5,Firearms,"More than 100 masked fighters surrounded the jail in Muqdadiya, 100 kilometers, or 60 miles, northeast of Baghdad, and blasted government buildings with mortars, grenades and machine guns",18.0,0.0,,1.0,
80168,200603240001,2006,3,24,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,13,Other,95.0,Iraq,6,Explosives,,31.0,0.0,,,
80171,200603250001,2006,3,25,92,India,6,South Asia,Ghodagaon,20.008627,80.688087,1,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,6,Explosives,,13.0,0.0,4.0,0.0,
80173,200603260001,2006,3,26,186,Sri Lanka,6,South Asia,Trincomalee,8.577826,81.218719,1,3,Bombing/Explosion,4,Military,186.0,Sri Lanka,6,Explosives,,14.0,0.0,,0.0,
80178,200603270001,2006,3,27,95,Iraq,10,Middle East & North Africa,Tal Afar district,36.374029,42.451435,1,3,Bombing/Explosion,4,Military,95.0,Iraq,6,Explosives,,30.0,0.0,,0.0,
80242,200604020031,2006,4,2,186,Sri Lanka,6,South Asia,Ampara district,7.301756,81.67473000000001,1,3,Bombing/Explosion,19,Transportation,186.0,Sri Lanka,6,Explosives,,16.0,0.0,0.0,0.0,
80331,200604060007,2006,4,6,95,Iraq,10,Middle East & North Africa,Najaf,32.000596,44.330818,1,3,Bombing/Explosion,15,Religious Figures/Institutions,95.0,Iraq,6,Explosives,"The blast burned the pilgrims' buses to thin metal frames pocked, with flesh, muscle and bone.",15.0,0.0,30.0,0.0,
80344,200604070001,2006,4,7,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,15,Religious Figures/Institutions,95.0,Iraq,6,Explosives,,90.0,0.0,,0.0,
80347,200604070004,2006,4,7,6,Algeria,10,Middle East & North Africa,Ouardhia,32.488988,3.678761,1,2,Armed Assault,2,Government (General),6.0,Algeria,5,Firearms,"The attackers had seized weapons from the convoy after the attack. El Watan newspaper also said authorities confiscated 60 Kalashnikov rifles, 10 rocket-launchers, 20 pistols and seven four-wheel drive vehicles, including three belonging to customs officers when authorities tracked the perpetrators on April 9.",14.0,0.0,7.0,0.0,
80429,200604110002,2006,4,11,186,Sri Lanka,6,South Asia,Kantale,8.351263000000001,81.00699300000001,1,3,Bombing/Explosion,4,Military,186.0,Sri Lanka,6,Explosives,The Claymore mine was triggered by remote control.,12.0,0.0,19.0,0.0,
80432,200604110005,2006,4,11,153,Pakistan,6,South Asia,Karachi,24.891115,67.143311,1,3,Bombing/Explosion,14,Private Citizens & Property,153.0,Pakistan,6,Explosives,"The bomber used about 11 pounds of explosives obtained locally according to Niaz Siddiqui, chief of police in Karachi. Siddiq's explosive jacket had 7/8 kg explosive and 3,000 ball bearing.",57.0,0.0,125.0,0.0,
80446,200604120001,2006,4,12,95,Iraq,10,Middle East & North Africa,Huwaider,33.771944,44.621666999999995,1,3,Bombing/Explosion,15,Religious Figures/Institutions,95.0,Iraq,6,Explosives,,32.0,0.0,70.0,0.0,
80448,200604120003,2006,4,12,186,Sri Lanka,6,South Asia,Trincomalee,8.577826,81.218719,1,3,Bombing/Explosion,4,Military,186.0,Sri Lanka,6,Explosives,Initial reports said a grenade was used.,17.0,0.0,,0.0,
80482,200604130003,2006,4,13,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,15.0,0.0,22.0,0.0,
80511,200604130032,2006,4,13,195,Sudan,11,Sub-Saharan Africa,Karamagay,11.648864,24.904221,1,2,Armed Assault,14,Private Citizens & Property,195.0,Sudan,5,Firearms,,15.0,0.0,11.0,0.0,
80554,200604160001,2006,4,16,195,Sudan,11,Sub-Saharan Africa,Sha'riyah,11.648864,24.904221,1,9,Unknown,14,Private Citizens & Property,195.0,Sudan,13,Unknown,,17.0,0.0,13.0,0.0,
80556,200604170001,2006,4,17,97,Israel,10,Middle East & North Africa,Tel Aviv,32.08297,34.811886,1,3,Bombing/Explosion,1,Business,97.0,Israel,6,Explosives,,11.0,1.0,66.0,1.0,
80574,200604240001,2006,4,24,60,Egypt,10,Middle East & North Africa,Dahab,28.509135999999998,34.513634,1,3,Bombing/Explosion,18,Tourists,60.0,Egypt,6,Explosives,,18.0,0.0,87.0,0.0,
80575,200604250001,2006,4,25,186,Sri Lanka,6,South Asia,Colombo,6.941837,79.861687,1,3,Bombing/Explosion,4,Military,186.0,Sri Lanka,6,Explosives,,11.0,0.0,5.0,0.0,
80576,200604250002,2006,4,25,92,India,6,South Asia,Manikonta,18.061476000000003,81.465141,1,2,Armed Assault,14,Private Citizens & Property,92.0,India,5,Firearms,,15.0,0.0,0.0,0.0,
80589,200604300001,2006,4,30,92,India,6,South Asia,Udhampur,32.925224,75.135264,1,2,Armed Assault,14,Private Citizens & Property,92.0,India,5,Firearms,,13.0,0.0,0.0,0.0,
80601,200605010015,2006,5,1,92,India,6,South Asia,Doda,33.14575,75.548049,1,2,Armed Assault,14,Private Citizens & Property,92.0,India,5,Firearms,,22.0,0.0,6.0,0.0,
80611,200605030001,2006,5,3,95,Iraq,10,Middle East & North Africa,Fallujah,33.349159,43.784199,1,3,Bombing/Explosion,3,Police,95.0,Iraq,6,Explosives,,16.0,0.0,30.0,0.0,
80645,200605090002,2006,5,9,95,Iraq,10,Middle East & North Africa,Tal Afar,36.376823,42.448875,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,18.0,0.0,35.0,0.0,
80653,200605100001,2006,5,10,95,Iraq,10,Middle East & North Africa,Baqubah,33.74324,44.623825,1,2,Armed Assault,19,Transportation,95.0,Iraq,5,Firearms,,11.0,0.0,6.0,0.0,
80675,200605120008,2006,5,12,147,Nigeria,11,Sub-Saharan Africa,Atlas Creek Island,6.418291,3.1656470000000003,1,3,Bombing/Explosion,21,Utilities,147.0,Nigeria,6,Explosives,,200.0,,,,
80683,200605130006,2006,5,13,94,Iran,10,Middle East & North Africa,Kerman,30.275508000000002,57.079331999999994,1,2,Armed Assault,14,Private Citizens & Property,94.0,Iran,5,Firearms,,12.0,0.0,1.0,0.0,
80686,200605140001,2006,5,0,6,Algeria,10,Middle East & North Africa,Jijel,36.821899,5.766102,1,2,Armed Assault,14,Private Citizens & Property,6.0,Algeria,13,Unknown,,21.0,0.0,0.0,0.0,
80691,200605140010,2006,5,14,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,16.0,0.0,6.0,0.0,
80702,200605150011,2006,5,14,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,6,Airports & Aircraft,95.0,Iraq,6,Explosives,,14.0,0.0,,0.0,
80706,200605160002,2006,5,16,92,India,6,South Asia,Halewara,19.757752,80.31336,1,3,Bombing/Explosion,3,Police,92.0,India,6,Explosives,"The perpetrators ""set off a landmine.""",12.0,0.0,0.0,0.0,
80709,200605160005,2006,5,16,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,The men were said to be 'armed' and they used a 'booby-trapped car' as a bomb.  It is unclear how they detonated the car bomb.,23.0,0.0,38.0,0.0,
80711,200605160007,2006,5,16,195,Sudan,11,Sub-Saharan Africa,Kutum,14.209794,24.657404,1,2,Armed Assault,14,Private Citizens & Property,195.0,Sudan,5,Firearms,,15.0,0.0,0.0,0.0,
80736,200605200004,2006,5,20,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,19,Transportation,95.0,Iraq,6,Explosives,It was just referred to as a 'bomb.',19.0,0.0,36.0,0.0,
80743,200605210004,2006,5,21,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,3,Police,95.0,Iraq,6,Explosives,A suicide bomber 'blew himself up' was the only details given.,13.0,0.0,18.0,0.0,
80794,200605290003,2006,5,29,186,Sri Lanka,6,South Asia,Welikanda,7.946435000000001,81.247846,1,2,Armed Assault,1,Business,186.0,Sri Lanka,5,Firearms,,12.0,0.0,2.0,0.0,
80796,200605300002,2006,5,30,95,Iraq,10,Middle East & North Africa,Hillah,32.469238,44.416637,1,3,Bombing/Explosion,1,Business,95.0,Iraq,6,Explosives,An explosive-laden car was used in the attack.,12.0,0.0,30.0,0.0,
80809,200606010005,2006,6,1,92,India,6,South Asia,Karampada,22.06054,85.237313,1,3,Bombing/Explosion,3,Police,92.0,India,6,Explosives,Police were returning from a raid on a school.,12.0,0.0,0.0,0.0,
80817,200606040001,2006,6,4,95,Iraq,10,Middle East & North Africa,Baghdad,33.393596,44.506536,1,2,Armed Assault,14,Private Citizens & Property,95.0,Iraq,5,Firearms,,21.0,0.0,0.0,0.0,
80819,200606040003,2006,6,4,95,Iraq,10,Middle East & North Africa,Khanaqin,34.347343,45.383274,1,2,Armed Assault,14,Private Citizens & Property,95.0,Iraq,5,Firearms,Seven mini bus drivers were among the dead.,19.0,0.0,2.0,0.0,
80863,200606150005,2006,6,15,186,Sri Lanka,6,South Asia,Vavuniya,8.757816,80.48790699999999,1,3,Bombing/Explosion,14,Private Citizens & Property,186.0,Sri Lanka,6,Explosives,Claymore Mine,64.0,0.0,80.0,0.0,
80870,200606160003,2006,6,16,186,Sri Lanka,6,South Asia,Anuradhapura district,8.345185,80.388133,1,3,Bombing/Explosion,19,Transportation,186.0,Sri Lanka,6,Explosives,"Two remote control Claymore mines, placed side by side.",63.0,0.0,71.0,0.0,
80873,200606170001,2006,6,17,45,Colombia,3,South America,Balboa,2.03955,-77.21701999999999,1,9,Unknown,14,Private Citizens & Property,45.0,Colombia,13,Unknown,,11.0,0.0,0.0,0.0,
80878,200606190001,2006,6,19,4,Afghanistan,6,South Asia,Ghorak district,32.050438,65.252094,1,2,Armed Assault,14,Private Citizens & Property,4.0,Afghanistan,5,Firearms,,32.0,0.0,,0.0,
80895,200606240007,2006,6,24,95,Iraq,10,Middle East & North Africa,Habhab,33.784248,44.50972,1,3,Bombing/Explosion,15,Religious Figures/Institutions,95.0,Iraq,6,Explosives,,12.0,0.0,0.0,0.0,
80921,200606300002,2006,6,30,95,Iraq,10,Middle East & North Africa,Kirkuk,35.45211,44.375465000000005,1,3,Bombing/Explosion,4,Military,95.0,Iraq,6,Explosives,,15.0,0.0,42.0,0.0,
80928,200607010005,2006,7,1,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,This attack was perpetrated using a suicide truck bomb.,77.0,,96.0,,
80972,200607030027,2006,7,3,195,Sudan,11,Sub-Saharan Africa,Hamarat Sheikh,15.709677,24.933792,1,2,Armed Assault,14,Private Citizens & Property,195.0,Sudan,5,Firearms,,12.0,,,,
81027,200607060016,2006,7,6,95,Iraq,10,Middle East & North Africa,Kufa,32.032916,44.399648,1,3,Bombing/Explosion,15,Religious Figures/Institutions,95.0,Iraq,6,Explosives,This was a suicide car bombing.,14.0,,38.0,,
81085,200607100009,2006,7,10,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,2,Armed Assault,14,Private Citizens & Property,95.0,Iraq,5,Firearms,,42.0,0.0,,0.0,
81098,200607120001,2006,7,11,92,India,6,South Asia,Mumbai,19.075984,72.877656,1,3,Bombing/Explosion,19,Transportation,92.0,India,6,Explosives,RDX Bombs,188.0,,817.0,,
81120,200607150001,2006,7,15,186,Sri Lanka,6,South Asia,Batticaloa,7.733107,81.68881999999999,1,6,Hostage Taking (Kidnapping),4,Military,186.0,Sri Lanka,5,Firearms,,12.0,0.0,4.0,0.0,
81129,200607160003,2006,7,16,95,Iraq,10,Middle East & North Africa,Tuz Khormato,34.881347999999996,44.62513,1,3,Bombing/Explosion,1,Business,95.0,Iraq,6,Explosives,,26.0,0.0,22.0,0.0,
81134,200607170001,2006,7,17,95,Iraq,10,Middle East & North Africa,Mahmudiyah,33.057990999999994,44.354839,1,2,Armed Assault,14,Private Citizens & Property,95.0,Iraq,5,Firearms,,56.0,0.0,67.0,0.0,
81135,200607170002,2006,7,17,92,India,6,South Asia,Errabore,17.980901,81.438199,1,2,Armed Assault,2,Government (General),92.0,India,9,Melee,,25.0,0.0,,0.0,
81138,200607180001,2006,7,18,95,Iraq,10,Middle East & North Africa,Kufa,32.032916,44.399648,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,59.0,,132.0,,
81148,200607190007,2006,7,19,95,Iraq,10,Middle East & North Africa,Mahmudiyah,33.057990999999994,44.354839,1,2,Armed Assault,14,Private Citizens & Property,95.0,Iraq,5,Firearms,,18.0,0.0,,0.0,
81165,200607230002,2006,7,23,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,34.0,0.0,73.0,0.0,
81175,200607270002,2006,7,27,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,1,Business,95.0,Iraq,6,Explosives,,31.0,0.0,150.0,0.0,
81189,200607310002,2006,7,31,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,2,Armed Assault,14,Private Citizens & Property,95.0,Iraq,5,Firearms,,23.0,0.0,0.0,0.0,
81197,200608010002,2006,8,1,95,Iraq,10,Middle East & North Africa,Baiji,34.92485,43.491413,1,3,Bombing/Explosion,4,Military,95.0,Iraq,6,Explosives,,23.0,0.0,40.0,0.0,
81198,200608010003,2006,8,1,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,1,Business,95.0,Iraq,6,Explosives,,15.0,0.0,37.0,0.0,
81218,200608020005,2006,8,2,95,Iraq,10,Middle East & North Africa,Baghdad,33.287345,44.319487,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,12.0,0.0,14.0,0.0,
81237,200608030001,2006,8,3,4,Afghanistan,6,South Asia,Panjwai,31.550039,65.45263,1,3,Bombing/Explosion,14,Private Citizens & Property,4.0,Afghanistan,6,Explosives,,22.0,0.0,13.0,0.0,
81254,200608030028,2006,8,3,186,Sri Lanka,6,South Asia,Mutur,8.457907,81.26840200000001,1,3,Bombing/Explosion,4,Military,186.0,Sri Lanka,6,Explosives,Mortar shells and artillery fire,16.0,0.0,20.0,0.0,
81267,200608050009,2006,8,5,186,Sri Lanka,6,South Asia,Mutur,8.457907,81.26840200000001,1,2,Armed Assault,14,Private Citizens & Property,186.0,Sri Lanka,5,Firearms,,100.0,0.0,,0.0,
81273,200608060001,2006,8,6,95,Iraq,10,Middle East & North Africa,Qadisiyah,34.458889,43.791004,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,15.0,0.0,30.0,0.0,
81290,200608070008,2006,8,7,186,Sri Lanka,6,South Asia,Mutur,8.457907,81.26840200000001,1,2,Armed Assault,12,NGO,69.0,France,5,Firearms,,15.0,,,,
81310,200608090004,2006,8,9,4,Afghanistan,6,South Asia,Qalandar,31.508661,65.434448,1,2,Armed Assault,3,Police,4.0,Afghanistan,5,Firearms,,20.0,0.0,,,
81313,200608100001,2006,8,10,95,Iraq,10,Middle East & North Africa,Najaf,32.000596,44.330818,1,3,Bombing/Explosion,15,Religious Figures/Institutions,95.0,Iraq,6,Explosives,,35.0,0.0,122.0,0.0,
81326,200608130003,2006,8,13,186,Sri Lanka,6,South Asia,Allaipiddy,9.619888000000001,79.96543199999999,1,3,Bombing/Explosion,15,Religious Figures/Institutions,186.0,Sri Lanka,6,Explosives,,40.0,0.0,50.0,0.0,
81336,200608140002,2006,8,14,186,Sri Lanka,6,South Asia,Colombo,6.941837,79.861687,1,3,Bombing/Explosion,14,Private Citizens & Property,186.0,Sri Lanka,6,Explosives,,61.0,0.0,150.0,0.0,
81400,200608260006,2006,8,26,19,Bangladesh,6,South Asia,Naogaon,24.804329,88.934251,1,3,Bombing/Explosion,3,Police,19.0,Bangladesh,6,Explosives,,15.0,0.0,30.0,0.0,
81402,200608270002,2006,8,27,95,Iraq,10,Middle East & North Africa,Khalis,33.848618,44.522125,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,14.0,0.0,25.0,0.0,
81404,200608270004,2006,8,27,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,19,Transportation,95.0,Iraq,6,Explosives,,11.0,0.0,15.0,0.0,
81408,200608280003,2006,8,28,4,Afghanistan,6,South Asia,Lashkar Gah,31.60063,64.369652,1,3,Bombing/Explosion,14,Private Citizens & Property,4.0,Afghanistan,6,Explosives,,17.0,0.0,50.0,0.0,
81410,200608280006,2006,8,28,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,2,Government (General),95.0,Iraq,6,Explosives,,13.0,0.0,42.0,0.0,
81413,200608280009,2006,8,28,4,Afghanistan,6,South Asia,Lashkar Gah,31.60063,64.369652,1,3,Bombing/Explosion,4,Military,4.0,Afghanistan,6,Explosives,Remote-controlled mine,17.0,0.0,45.0,0.0,
81415,200608280011,2006,8,28,186,Sri Lanka,6,South Asia,Trincomalee,8.577826,81.218719,1,3,Bombing/Explosion,14,Private Citizens & Property,186.0,Sri Lanka,6,Explosives,,35.0,0.0,106.0,0.0,
81431,200608300003,2006,8,30,95,Iraq,10,Middle East & North Africa,Hillah,32.469238,44.416637,1,3,Bombing/Explosion,4,Military,95.0,Iraq,6,Explosives,The bomb was attached to a motorcycle.,12.0,0.0,38.0,0.0,
81433,200608310001,2006,8,31,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,26.0,0.0,80.0,0.0,
81436,200608310004,2006,8,31,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,1,Business,95.0,Iraq,6,Explosives,,26.0,0.0,80.0,0.0,
81464,200609070002,2006,9,7,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,3,Police,95.0,Iraq,6,Explosives,,11.0,0.0,18.0,0.0,
81471,200609080006,2006,9,8,4,Afghanistan,6,South Asia,Kabul,34.516895,69.14701099999999,1,3,Bombing/Explosion,4,Military,422.0,International,6,Explosives,,17.0,2.0,29.0,2.0,
81472,200609080007,2006,9,8,92,India,6,South Asia,Malegaon,20.554623,74.525987,1,3,Bombing/Explosion,14,Private Citizens & Property,92.0,India,6,Explosives,,24.0,0.0,,0.0,
81482,200609110001,2006,9,11,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,4,Military,95.0,Iraq,6,Explosives,,14.0,0.0,3.0,0.0,
81501,200609130001,2006,9,13,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,3,Police,95.0,Iraq,6,Explosives,,12.0,0.0,34.0,0.0,
81502,200609130002,2006,9,13,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,3,Police,95.0,Iraq,6,Explosives,,22.0,0.0,34.0,0.0,
81503,200609130003,2006,9,13,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,3,Police,95.0,Iraq,6,Explosives,,14.0,0.0,67.0,0.0,
81520,200609170012,2006,9,17,95,Iraq,10,Middle East & North Africa,Kirkuk,35.45211,44.375465000000005,1,3,Bombing/Explosion,3,Police,95.0,Iraq,6,Explosives,,27.0,0.0,73.0,0.0,
81524,200609180004,2006,9,18,182,Somalia,11,Sub-Saharan Africa,Baidoa,3.115641,43.64658,1,1,Assassination,2,Government (General),182.0,Somalia,6,Explosives,The bomb was a vehicular suicide bomb.,11.0,0.0,18.0,0.0,
81526,200609180011,2006,9,18,95,Iraq,10,Middle East & North Africa,Tal Afar,36.376823,42.448875,1,3,Bombing/Explosion,14,Private Citizens & Property,95.0,Iraq,6,Explosives,,20.0,0.0,,0.0,
81528,200609180015,2006,9,18,4,Afghanistan,6,South Asia,Herat,34.346722,62.197315,1,3,Bombing/Explosion,15,Religious Figures/Institutions,4.0,Afghanistan,6,Explosives,,11.0,0.0,20.0,0.0,
81543,200609220001,2006,9,22,4,Afghanistan,6,South Asia,Kandahar,31.617666999999997,65.675942,1,3,Bombing/Explosion,19,Transportation,4.0,Afghanistan,6,Explosives,,19.0,0.0,3.0,0.0,
81549,200609230014,2006,9,23,95,Iraq,10,Middle East & North Africa,Baghdad,33.303566,44.371773,1,3,Bombing/Explosion,1,Business,95.0,Iraq,6,Explosives,There were two bombs involved in the attack.,31.0,0.0,40.0,0.0,
81594,200609300015,2006,9,30,4,Afghanistan,6,South Asia,Kabul,34.516895,69.14701099999999,1,3,Bombing/Explosion,2,Government (General),4.0,Afghanistan,6,Explosives,,13.0,0.0,50.0,0.0,
81601,200610020004,2006,10,2,4,Afghanistan,6,South Asia,Gomal district,32.509722,68.85583299999999,1,2,Armed Assault,3,Police,4.0,Afghanistan,5,Firearms,,13.0,0.0,17.0,0.0,
81602,200610020005,2006,10,2,147,Nigeria,11,Sub-Saharan Africa,Unknown,4.858077,6.9209130000000005,1,2,Armed Assault,1,Business,999.0,Multinational,5,Firearms,,14.0,0.0,,0.0,
